State,Date,Year,Month,Unemployment_Rate,Information,Professional_and_Tech_Services,Leisure_and_Hospitality,Other_Services,Total_Tech_Employment_Thousands
Idaho,2020-05-01,2020,5,9.1,601.6,127.2,595.6,474.4,728.8000000000001
Idaho,2020-06-01,2020,6,7.5,630.6,130.7,619.2,499.9,761.3
Idaho,2020-07-01,2020,7,6.6,639.4,131.5,626.5,507.9,770.9
Idaho,2020-08-01,2020,8,5.4,642.1,132.0,628.7,510.1,774.1
Idaho,2020-09-01,2020,9,5.0,640.5,131.7,632.8,508.8,772.2
Idaho,2020-10-01,2020,10,4.4,647.8,133.0,641.0,514.8,780.8
Idaho,2020-11-01,2020,11,4.2,647.7,133.3,640.0,514.4,781.0
Idaho,2020-12-01,2020,12,4.2,650.3,132.9,641.1,517.4,783.1999999999999
Idaho,2021-01-01,2021,1,4.1,641.4,129.5,633.1,511.9,770.9
Idaho,2021-02-01,2021,2,4.1,648.1,130.9,642.0,517.2,779.0
Idaho,2021-03-01,2021,3,4.0,654.1,132.7,647.0,521.4,786.8
Idaho,2021-04-01,2021,4,3.9,662.4,136.1,652.4,526.3,798.5
Idaho,2021-05-01,2021,5,3.7,669.4,137.6,658.5,531.8,807.0
Idaho,2021-06-01,2021,6,3.6,680.2,140.1,665.6,540.1,820.3000000000001
Idaho,2021-07-01,2021,7,3.5,690.0,141.4,668.0,548.6,831.4
Idaho,2021-08-01,2021,8,3.4,687.4,140.9,665.1,546.5,828.3
Idaho,2021-09-01,2021,9,3.3,679.8,139.3,665.9,540.5,819.0999999999999
Idaho,2021-10-01,2021,10,3.1,683.6,140.5,670.6,543.1,824.1
Idaho,2021-11-01,2021,11,3.0,685.5,141.1,671.7,544.4,826.6
Idaho,2021-12-01,2021,12,2.9,686.2,140.1,671.7,546.1,826.3000000000001
Idaho,2022-01-01,2022,1,2.8,675.7,137.3,662.4,538.4,813.0
Idaho,2022-02-01,2022,2,2.7,684.2,139.4,671.6,544.8,823.6
Idaho,2022-03-01,2022,3,2.7,689.1,140.8,675.1,548.3,829.9000000000001
Idaho,2022-04-01,2022,4,2.7,692.2,141.8,677.9,550.4,834.0
Idaho,2022-05-01,2022,5,2.8,697.4,143.4,682.0,554.0,840.8
Idaho,2022-06-01,2022,6,2.8,707.8,146.8,687.7,561.0,854.5999999999999
Idaho,2022-07-01,2022,7,2.9,717.0,150.0,687.5,567.0,867.0
Idaho,2022-08-01,2022,8,2.9,714.3,149.5,686.0,564.8,863.8
Idaho,2022-09-01,2022,9,3.0,709.4,148.3,688.8,561.1,857.7
Idaho,2022-10-01,2022,10,3.0,709.6,148.3,690.6,561.3,857.9000000000001
Idaho,2022-11-01,2022,11,3.0,710.9,148.3,692.2,562.6,859.2
Idaho,2022-12-01,2022,12,3.0,708.5,145.4,690.1,563.1,853.9
Idaho,2023-01-01,2023,1,3.0,695.8,141.8,680.6,554.0,837.5999999999999
Idaho,2023-02-01,2023,2,3.0,698.8,142.5,686.7,556.3,841.3
Idaho,2023-03-01,2023,3,3.0,698.4,142.9,685.7,555.5,841.3
Idaho,2023-04-01,2023,4,3.0,712.4,144.7,698.6,567.7,857.0999999999999
Idaho,2023-05-01,2023,5,3.1,718.5,147.0,702.4,571.5,865.5
Idaho,2023-06-01,2023,6,3.1,729.7,150.2,709.7,579.5,879.9000000000001
Idaho,2023-07-01,2023,7,3.2,730.2,149.9,701.8,580.3,880.1
Idaho,2023-08-01,2023,8,3.3,728.1,150.0,701.4,578.1,878.1
Idaho,2023-09-01,2023,9,3.3,722.0,149.5,703.7,572.5,871.5
Idaho,2023-10-01,2023,10,3.4,731.2,151.2,713.1,580.0,882.4000000000001
Idaho,2023-11-01,2023,11,3.4,732.5,151.7,714.1,580.8,884.2
Idaho,2023-12-01,2023,12,3.4,733.2,150.9,714.3,582.3,884.1
Idaho,2024-01-01,2024,1,3.4,712.1,143.8,694.6,568.3,855.9000000000001
Idaho,2024-02-01,2024,2,3.5,715.0,144.9,699.2,570.1,859.9
Idaho,2024-03-01,2024,3,3.5,717.3,146.7,700.6,570.6,864.0
Idaho,2024-04-01,2024,4,3.5,730.0,148.6,711.9,581.4,878.6
Idaho,2024-05-01,2024,5,3.6,736.8,150.7,715.2,586.1,887.5
Idaho,2024-06-01,2024,6,3.6,745.5,153.7,720.6,591.8,899.2
Idaho,2024-07-01,2024,7,3.6,753.3,154.8,720.1,598.5,908.0999999999999
Idaho,2024-08-01,2024,8,3.6,749.8,155.3,718.5,594.5,905.0999999999999
Idaho,2024-09-01,2024,9,3.6,741.8,154.1,717.3,587.7,895.9
Idaho,2024-10-01,2024,10,3.6,747.5,155.0,723.7,592.5,902.5
Idaho,2024-11-01,2024,11,3.6,744.4,154.7,720.8,589.7,899.0999999999999
Idaho,2024-12-01,2024,12,3.7,741.4,152.2,718.3,589.2,893.5999999999999
Idaho,2025-01-01,2025,1,3.7,728.2,148.3,709.6,579.9,876.5
Idaho,2025-02-01,2025,2,3.7,728.0,148.3,711.1,579.7,876.3
Idaho,2025-03-01,2025,3,3.6,728.3,149.5,710.4,578.8,877.8
Idaho,2025-04-01,2025,4,3.6,746.4,153.0,725.1,593.4,899.4
Idaho,2025-05-01,2025,5,3.6,751.9,155.2,728.0,596.7,907.0999999999999
Idaho,2025-06-01,2025,6,3.6,758.5,156.9,731.9,601.6,915.4
Idaho,2025-07-01,2025,7,3.6,766.9,157.9,734.0,609.0,924.8
Idaho,2025-08-01,2025,8,3.6,762.3,157.5,730.7,604.8,919.8
Idaho,2025-09-01,2025,9,3.6,751.8,156.4,726.0,595.4,908.1999999999999
Idaho,2025-10-01,2025,10,,751.2,157.5,725.7,593.7,908.7
Idaho,2025-11-01,2025,11,3.6,750.4,158.3,723.8,592.1,908.7
Idaho,2025-12-01,2025,12,3.6,749.1,155.8,723.0,593.3,904.9000000000001
Illinois,2016-01-01,2016,1,6.2,,,,,0.0
Illinois,2016-02-01,2016,2,6.2,,,,,0.0
Illinois,2016-03-01,2016,3,6.2,,,,,0.0
Illinois,2016-04-01,2016,4,6.1,,,,,0.0
Illinois,2016-05-01,2016,5,6.0,,,,,0.0
Illinois,2016-06-01,2016,6,5.9,,,,,0.0
Illinois,2016-07-01,2016,7,5.8,,,,,0.0
Illinois,2016-08-01,2016,8,5.8,,,,,0.0
Illinois,2016-09-01,2016,9,5.7,,,,,0.0
Illinois,2016-10-01,2016,10,5.7,,,,,0.0
Illinois,2016-11-01,2016,11,5.6,,,,,0.0
Illinois,2016-12-01,2016,12,5.4,,,,,0.0
Illinois,2017-01-01,2017,1,5.3,,,,,0.0
Illinois,2017-02-01,2017,2,5.1,,,,,0.0
Illinois,2017-03-01,2017,3,5.0,,,,,0.0
Illinois,2017-04-01,2017,4,5.0,,,,,0.0
Illinois,2017-05-01,2017,5,4.9,,,,,0.0
Illinois,2017-06-01,2017,6,4.9,,,,,0.0
Illinois,2017-07-01,2017,7,5.0,,,,,0.0
Illinois,2017-08-01,2017,8,5.0,,,,,0.0
Illinois,2017-09-01,2017,9,4.9,,,,,0.0
Illinois,2017-10-01,2017,10,4.9,,,,,0.0
Illinois,2017-11-01,2017,11,4.8,,,,,0.0
Illinois,2017-12-01,2017,12,4.7,,,,,0.0
Illinois,2018-01-01,2018,1,4.5,,,,,0.0
Illinois,2018-02-01,2018,2,4.4,,,,,0.0
Illinois,2018-03-01,2018,3,4.4,,,,,0.0
Illinois,2018-04-01,2018,4,4.3,,,,,0.0
Illinois,2018-05-01,2018,5,4.3,,,,,0.0
Illinois,2018-06-01,2018,6,4.3,,,,,0.0
Illinois,2018-07-01,2018,7,4.3,,,,,0.0
Illinois,2018-08-01,2018,8,4.3,,,,,0.0
Illinois,2018-09-01,2018,9,4.4,,,,,0.0
Illinois,2018-10-01,2018,10,4.4,,,,,0.0
Illinois,2018-11-01,2018,11,4.5,,,,,0.0
Illinois,2018-12-01,2018,12,4.6,,,,,0.0
Illinois,2019-01-01,2019,1,4.6,,,,,0.0
Illinois,2019-02-01,2019,2,4.5,,,,,0.0
Illinois,2019-03-01,2019,3,4.4,,,,,0.0
Illinois,2019-04-01,2019,4,4.2,,,,,0.0
Illinois,2019-05-01,2019,5,4.0,,,,,0.0
Illinois,2019-06-01,2019,6,3.9,,,,,0.0
Illinois,2019-07-01,2019,7,3.8,,,,,0.0
Illinois,2019-08-01,2019,8,3.7,,,,,0.0
Illinois,2019-09-01,2019,9,3.7,,,,,0.0
Illinois,2019-10-01,2019,10,3.7,,,,,0.0
Illinois,2019-11-01,2019,11,3.6,,,,,0.0
Illinois,2019-12-01,2019,12,3.6,,,,,0.0
Illinois,2020-01-01,2020,1,3.7,,,,,0.0
Illinois,2020-02-01,2020,2,3.8,,,,,0.0
Illinois,2020-03-01,2020,3,5.1,,,,,0.0
Illinois,2020-04-01,2020,4,18.3,,,,,0.0
Illinois,2020-05-01,2020,5,14.7,,,,,0.0
Illinois,2020-06-01,2020,6,12.6,,,,,0.0
Illinois,2020-07-01,2020,7,11.4,,,,,0.0
Illinois,2020-08-01,2020,8,9.7,,,,,0.0
Illinois,2020-09-01,2020,9,9.1,,,,,0.0
Illinois,2020-10-01,2020,10,8.2,,,,,0.0
Illinois,2020-11-01,2020,11,7.8,,,,,0.0
Illinois,2020-12-01,2020,12,7.6,,,,,0.0
Illinois,2021-01-01,2021,1,7.2,,,,,0.0
Illinois,2021-02-01,2021,2,7.0,,,,,0.0
Illinois,2021-03-01,2021,3,6.8,,,,,0.0
Illinois,2021-04-01,2021,4,6.7,,,,,0.0
Illinois,2021-05-01,2021,5,6.6,,,,,0.0
Illinois,2021-06-01,2021,6,6.4,,,,,0.0
Illinois,2021-07-01,2021,7,6.2,,,,,0.0
Illinois,2021-08-01,2021,8,5.9,,,,,0.0
Illinois,2021-09-01,2021,9,5.5,,,,,0.0
Illinois,2021-10-01,2021,10,5.2,,,,,0.0
Illinois,2021-11-01,2021,11,4.9,,,,,0.0
Illinois,2021-12-01,2021,12,4.8,,,,,0.0
Illinois,2022-01-01,2022,1,4.7,,,,,0.0
Illinois,2022-02-01,2022,2,4.7,,,,,0.0
Illinois,2022-03-01,2022,3,4.6,,,,,0.0
Illinois,2022-04-01,2022,4,4.6,,,,,0.0
Illinois,2022-05-01,2022,5,4.6,,,,,0.0
Illinois,2022-06-01,2022,6,4.5,,,,,0.0
Illinois,2022-07-01,2022,7,4.5,,,,,0.0
Illinois,2022-08-01,2022,8,4.5,,,,,0.0
Illinois,2022-09-01,2022,9,4.5,,,,,0.0
Illinois,2022-10-01,2022,10,4.6,,,,,0.0
Illinois,2022-11-01,2022,11,4.5,,,,,0.0
Illinois,2022-12-01,2022,12,4.5,,,,,0.0
Illinois,2023-01-01,2023,1,4.4,,,,,0.0
Illinois,2023-02-01,2023,2,4.3,,,,,0.0
Illinois,2023-03-01,2023,3,4.2,,,,,0.0
Illinois,2023-04-01,2023,4,4.2,,,,,0.0
Illinois,2023-05-01,2023,5,4.2,,,,,0.0
Illinois,2023-06-01,2023,6,4.3,,,,,0.0
Illinois,2023-07-01,2023,7,4.4,,,,,0.0
Illinois,2023-08-01,2023,8,4.6,,,,,0.0
Illinois,2023-09-01,2023,9,4.7,,,,,0.0
Illinois,2023-10-01,2023,10,4.8,,,,,0.0
Illinois,2023-11-01,2023,11,4.8,,,,,0.0
Illinois,2023-12-01,2023,12,4.8,,,,,0.0
Illinois,2024-01-01,2024,1,4.9,,,,,0.0
Illinois,2024-02-01,2024,2,4.9,,,,,0.0
Illinois,2024-03-01,2024,3,5.0,,,,,0.0
Illinois,2024-04-01,2024,4,5.1,,,,,0.0
Illinois,2024-05-01,2024,5,5.1,,,,,0.0
Illinois,2024-06-01,2024,6,5.1,,,,,0.0
Illinois,2024-07-01,2024,7,5.1,,,,,0.0
Illinois,2024-08-01,2024,8,5.1,,,,,0.0
Illinois,2024-09-01,2024,9,5.0,,,,,0.0
Illinois,2024-10-01,2024,10,4.9,,,,,0.0
Illinois,2024-11-01,2024,11,4.8,,,,,0.0
Illinois,2024-12-01,2024,12,4.8,,,,,0.0
Illinois,2025-01-01,2025,1,4.7,,,,,0.0
Illinois,2025-02-01,2025,2,4.7,,,,,0.0
Illinois,2025-03-01,2025,3,4.6,,,,,0.0
Illinois,2025-04-01,2025,4,4.5,,,,,0.0
Illinois,2025-05-01,2025,5,4.4,,,,,0.0
Illinois,2025-06-01,2025,6,4.3,,,,,0.0
Illinois,2025-07-01,2025,7,4.3,,,,,0.0
Illinois,2025-08-01,2025,8,4.3,,,,,0.0
Illinois,2025-09-01,2025,9,4.5,,,,,0.0
Illinois,2025-10-01,2025,10,,,,,,0.0
Illinois,2025-11-01,2025,11,4.7,,,,,0.0
Illinois,2025-12-01,2025,12,4.7,,,,,0.0
Indiana,2016-01-01,2016,1,4.6,,,,,0.0
Indiana,2016-02-01,2016,2,4.7,,,,,0.0
Indiana,2016-03-01,2016,3,4.6,,,,,0.0
Indiana,2016-04-01,2016,4,4.6,,,,,0.0
Indiana,2016-05-01,2016,5,4.5,,,,,0.0
Indiana,2016-06-01,2016,6,4.5,,,,,0.0
Indiana,2016-07-01,2016,7,4.4,,,,,0.0
Indiana,2016-08-01,2016,8,4.3,,,,,0.0
Indiana,2016-09-01,2016,9,4.2,,,,,0.0
Indiana,2016-10-01,2016,10,4.2,,,,,0.0
Indiana,2016-11-01,2016,11,4.1,,,,,0.0
Indiana,2016-12-01,2016,12,4.0,,,,,0.0
Indiana,2017-01-01,2017,1,3.9,,,,,0.0
Indiana,2017-02-01,2017,2,3.7,,,,,0.0
Indiana,2017-03-01,2017,3,3.6,,,,,0.0
Indiana,2017-04-01,2017,4,3.5,,,,,0.0
Indiana,2017-05-01,2017,5,3.4,,,,,0.0
Indiana,2017-06-01,2017,6,3.5,,,,,0.0
Indiana,2017-07-01,2017,7,3.5,,,,,0.0
Indiana,2017-08-01,2017,8,3.5,,,,,0.0
Indiana,2017-09-01,2017,9,3.5,,,,,0.0
Indiana,2017-10-01,2017,10,3.5,,,,,0.0
Indiana,2017-11-01,2017,11,3.4,,,,,0.0
Indiana,2017-12-01,2017,12,3.3,,,,,0.0
Indiana,2018-01-01,2018,1,3.3,,,,,0.0
Indiana,2018-02-01,2018,2,3.3,,,,,0.0
Indiana,2018-03-01,2018,3,3.3,,,,,0.0
Indiana,2018-04-01,2018,4,3.4,,,,,0.0
Indiana,2018-05-01,2018,5,3.4,,,,,0.0
Indiana,2018-06-01,2018,6,3.4,,,,,0.0
Indiana,2018-07-01,2018,7,3.4,,,,,0.0
Indiana,2018-08-01,2018,8,3.5,,,,,0.0
Indiana,2018-09-01,2018,9,3.5,,,,,0.0
Indiana,2018-10-01,2018,10,3.5,,,,,0.0
Indiana,2018-11-01,2018,11,3.6,,,,,0.0
Indiana,2018-12-01,2018,12,3.6,,,,,0.0
Indiana,2019-01-01,2019,1,3.5,,,,,0.0
Indiana,2019-02-01,2019,2,3.5,,,,,0.0
Indiana,2019-03-01,2019,3,3.4,,,,,0.0
Indiana,2019-04-01,2019,4,3.3,,,,,0.0
Indiana,2019-05-01,2019,5,3.2,,,,,0.0
Indiana,2019-06-01,2019,6,3.2,,,,,0.0
Indiana,2019-07-01,2019,7,3.2,,,,,0.0
Indiana,2019-08-01,2019,8,3.3,,,,,0.0
Indiana,2019-09-01,2019,9,3.3,,,,,0.0
Indiana,2019-10-01,2019,10,3.3,,,,,0.0
Indiana,2019-11-01,2019,11,3.3,,,,,0.0
Indiana,2019-12-01,2019,12,3.3,,,,,0.0
Indiana,2020-01-01,2020,1,3.4,,,,,0.0
Indiana,2020-02-01,2020,2,3.5,,,,,0.0
Indiana,2020-03-01,2020,3,3.6,,,,,0.0
Indiana,2020-04-01,2020,4,16.9,,,,,0.0
Indiana,2020-05-01,2020,5,12.5,,,,,0.0
Indiana,2020-06-01,2020,6,10.3,,,,,0.0
Indiana,2020-07-01,2020,7,8.9,,,,,0.0
Indiana,2020-08-01,2020,8,7.2,,,,,0.0
Indiana,2020-09-01,2020,9,6.5,,,,,0.0
Indiana,2020-10-01,2020,10,5.6,,,,,0.0
Indiana,2020-11-01,2020,11,5.2,,,,,0.0
Indiana,2020-12-01,2020,12,5.0,,,,,0.0
Indiana,2021-01-01,2021,1,4.7,,,,,0.0
Indiana,2021-02-01,2021,2,4.6,,,,,0.0
Indiana,2021-03-01,2021,3,4.5,,,,,0.0
Indiana,2021-04-01,2021,4,4.4,,,,,0.0
Indiana,2021-05-01,2021,5,4.2,,,,,0.0
Indiana,2021-06-01,2021,6,4.1,,,,,0.0
Indiana,2021-07-01,2021,7,3.9,,,,,0.0
Indiana,2021-08-01,2021,8,3.7,,,,,0.0
Indiana,2021-09-01,2021,9,3.5,,,,,0.0
Indiana,2021-10-01,2021,10,3.3,,,,,0.0
Indiana,2021-11-01,2021,11,3.1,,,,,0.0
Indiana,2021-12-01,2021,12,3.0,,,,,0.0
Indiana,2022-01-01,2022,1,3.0,,,,,0.0
Indiana,2022-02-01,2022,2,2.9,,,,,0.0
Indiana,2022-03-01,2022,3,2.9,,,,,0.0
Indiana,2022-04-01,2022,4,3.0,,,,,0.0
Indiana,2022-05-01,2022,5,3.0,,,,,0.0
Indiana,2022-06-01,2022,6,3.0,,,,,0.0
Indiana,2022-07-01,2022,7,3.1,,,,,0.0
Indiana,2022-08-01,2022,8,3.1,,,,,0.0
Indiana,2022-09-01,2022,9,3.1,,,,,0.0
Indiana,2022-10-01,2022,10,3.2,,,,,0.0
Indiana,2022-11-01,2022,11,3.2,,,,,0.0
Indiana,2022-12-01,2022,12,3.3,,,,,0.0
Indiana,2023-01-01,2023,1,3.3,,,,,0.0
Indiana,2023-02-01,2023,2,3.3,,,,,0.0
Indiana,2023-03-01,2023,3,3.3,,,,,0.0
Indiana,2023-04-01,2023,4,3.3,,,,,0.0
Indiana,2023-05-01,2023,5,3.3,,,,,0.0
Indiana,2023-06-01,2023,6,3.4,,,,,0.0
Indiana,2023-07-01,2023,7,3.4,,,,,0.0
Indiana,2023-08-01,2023,8,3.4,,,,,0.0
Indiana,2023-09-01,2023,9,3.5,,,,,0.0
Indiana,2023-10-01,2023,10,3.5,,,,,0.0
Indiana,2023-11-01,2023,11,3.6,,,,,0.0
Indiana,2023-12-01,2023,12,3.7,,,,,0.0
Indiana,2024-01-01,2024,1,3.7,,,,,0.0
Indiana,2024-02-01,2024,2,3.8,,,,,0.0
Indiana,2024-03-01,2024,3,3.9,,,,,0.0
Indiana,2024-04-01,2024,4,4.0,,,,,0.0
Indiana,2024-05-01,2024,5,4.1,,,,,0.0
Indiana,2024-06-01,2024,6,4.1,,,,,0.0
Indiana,2024-07-01,2024,7,4.1,,,,,0.0
Indiana,2024-08-01,2024,8,4.2,,,,,0.0
Indiana,2024-09-01,2024,9,4.2,,,,,0.0
Indiana,2024-10-01,2024,10,4.1,,,,,0.0
Indiana,2024-11-01,2024,11,4.1,,,,,0.0
Indiana,2024-12-01,2024,12,4.0,,,,,0.0
Indiana,2025-01-01,2025,1,3.9,,,,,0.0
Indiana,2025-02-01,2025,2,3.8,,,,,0.0
Indiana,2025-03-01,2025,3,3.7,,,,,0.0
Indiana,2025-04-01,2025,4,3.7,,,,,0.0
Indiana,2025-05-01,2025,5,3.7,,,,,0.0
Indiana,2025-06-01,2025,6,3.7,,,,,0.0
Indiana,2025-07-01,2025,7,3.7,,,,,0.0
Indiana,2025-08-01,2025,8,3.7,,,,,0.0
Indiana,2025-09-01,2025,9,3.7,,,,,0.0
Indiana,2025-10-01,2025,10,,,,,,0.0
Indiana,2025-11-01,2025,11,3.5,,,,,0.0
Indiana,2025-12-01,2025,12,3.5,,,,,0.0
Iowa,2016-01-01,2016,1,3.6,1279.2,284.3,1250.7,994.9,1563.5
Iowa,2016-02-01,2016,2,3.6,1282.8,282.9,1260.8,999.9,1565.6999999999998
Iowa,2016-03-01,2016,3,3.6,1294.0,289.4,1265.5,1004.6,1583.4
Iowa,2016-04-01,2016,4,3.6,1316.9,297.0,1281.9,1019.9,1613.9
Iowa,2016-05-01,2016,5,3.6,1322.0,299.2,1285.8,1022.8,1621.2
Iowa,2016-06-01,2016,6,3.7,1323.4,304.0,1278.3,1019.4,1627.4
Iowa,2016-07-01,2016,7,3.7,1328.5,306.1,1259.8,1022.4,1634.6
Iowa,2016-08-01,2016,8,3.7,1326.8,306.1,1261.7,1020.7,1632.9
Iowa,2016-09-01,2016,9,3.6,1322.9,303.4,1278.3,1019.5,1626.3000000000002
Iowa,2016-10-01,2016,10,3.6,1324.6,301.8,1286.2,1022.8,1626.3999999999999
Iowa,2016-11-01,2016,11,3.5,1323.1,298.5,1289.7,1024.6,1621.6
Iowa,2016-12-01,2016,12,3.4,1314.3,292.8,1285.8,1021.5,1607.1
Iowa,2017-01-01,2017,1,3.3,1276.8,281.0,1255.4,995.8,1557.8
Iowa,2017-02-01,2017,2,3.3,1284.4,280.9,1266.6,1003.5,1565.3000000000002
Iowa,2017-03-01,2017,3,3.2,1291.4,284.6,1270.3,1006.8,1576.0
Iowa,2017-04-01,2017,4,3.1,1313.7,292.4,1285.7,1021.3,1606.1
Iowa,2017-05-01,2017,5,3.1,1321.4,296.3,1289.5,1025.1,1617.7
Iowa,2017-06-01,2017,6,3.1,1328.0,301.0,1288.5,1027.0,1629.0
Iowa,2017-07-01,2017,7,3.1,1323.9,301.4,1264.4,1022.5,1625.3000000000002
Iowa,2017-08-01,2017,8,3.1,1322.1,300.4,1267.6,1021.7,1622.5
Iowa,2017-09-01,2017,9,3.0,1319.1,299.6,1280.4,1019.5,1618.6999999999998
Iowa,2017-10-01,2017,10,3.0,1323.5,300.0,1288.5,1023.5,1623.5
Iowa,2017-11-01,2017,11,2.9,1325.8,299.4,1292.5,1026.4,1625.1999999999998
Iowa,2017-12-01,2017,12,2.9,1321.5,296.3,1290.1,1025.2,1617.8
Iowa,2018-01-01,2018,1,2.8,1287.4,285.2,1262.7,1002.2,1572.6000000000001
Iowa,2018-02-01,2018,2,2.7,1294.2,285.9,1272.2,1008.3,1580.1
Iowa,2018-03-01,2018,3,2.7,1300.1,290.2,1273.6,1009.9,1590.3
Iowa,2018-04-01,2018,4,2.6,1318.2,298.0,1285.1,1020.2,1616.2
Iowa,2018-05-01,2018,5,2.5,1335.1,304.7,1295.8,1030.4,1639.8
Iowa,2018-06-01,2018,6,2.5,1340.0,310.8,1291.7,1029.2,1650.8
Iowa,2018-07-01,2018,7,2.5,1336.9,312.0,1267.2,1024.9,1648.9
Iowa,2018-08-01,2018,8,2.5,1333.1,310.9,1267.8,1022.2,1644.0
Iowa,2018-09-01,2018,9,2.5,1330.0,309.3,1281.1,1020.7,1639.3
Iowa,2018-10-01,2018,10,2.5,1334.2,308.9,1290.6,1025.3,1643.1
Iowa,2018-11-01,2018,11,2.6,1336.9,308.7,1295.6,1028.2,1645.6000000000001
Iowa,2018-12-01,2018,12,2.6,1328.8,304.0,1290.6,1024.8,1632.8
Iowa,2019-01-01,2019,1,2.6,1298.8,294.9,1262.9,1003.9,1593.6999999999998
Iowa,2019-02-01,2019,2,2.6,1298.6,292.0,1269.8,1006.6,1590.6
Iowa,2019-03-01,2019,3,2.6,1302.8,294.5,1272.9,1008.3,1597.3
Iowa,2019-04-01,2019,4,2.6,1325.6,304.5,1286.9,1021.1,1630.1
Iowa,2019-05-01,2019,5,2.6,1336.7,310.2,1293.3,1026.5,1646.9
Iowa,2019-06-01,2019,6,2.7,1341.7,315.2,1285.5,1026.5,1656.9
Iowa,2019-07-01,2019,7,2.7,1339.3,316.3,1264.0,1023.0,1655.6
Iowa,2019-08-01,2019,8,2.7,1337.6,315.2,1266.5,1022.4,1652.8
Iowa,2019-09-01,2019,9,2.7,1330.6,311.2,1281.0,1019.4,1641.8
Iowa,2019-10-01,2019,10,2.7,1338.3,311.4,1293.0,1026.9,1649.6999999999998
Iowa,2019-11-01,2019,11,2.7,1339.0,308.8,1297.7,1030.2,1647.8
Iowa,2019-12-01,2019,12,2.7,1331.3,304.8,1294.4,1026.5,1636.1
Iowa,2020-01-01,2020,1,2.7,1298.4,294.1,1267.8,1004.3,1592.5
Iowa,2020-02-01,2020,2,2.7,1300.5,292.1,1275.1,1008.4,1592.6
Iowa,2020-03-01,2020,3,2.7,1298.8,294.8,1271.5,1004.0,1593.6
Iowa,2020-04-01,2020,4,11.0,1162.8,288.2,1129.2,874.6,1451.0
Iowa,2020-05-01,2020,5,8.5,1194.3,293.3,1143.4,901.0,1487.6
Iowa,2020-06-01,2020,6,6.8,1238.7,297.6,1181.1,941.1,1536.3000000000002
Iowa,2020-07-01,2020,7,6.0,1254.7,299.5,1183.7,955.2,1554.2
Iowa,2020-08-01,2020,8,5.0,1253.0,298.8,1190.3,954.2,1551.8
Iowa,2020-09-01,2020,9,4.6,1255.3,296.0,1213.5,959.3,1551.3
Iowa,2020-10-01,2020,10,4.2,1277.5,298.1,1236.4,979.4,1575.6
Iowa,2020-11-01,2020,11,4.2,1274.0,297.0,1234.4,977.0,1571.0
Iowa,2020-12-01,2020,12,4.2,1272.9,296.2,1231.2,976.7,1569.1000000000001
Iowa,2021-01-01,2021,1,4.1,1246.8,284.9,1210.6,961.9,1531.6999999999998
Iowa,2021-02-01,2021,2,4.2,1247.0,281.0,1219.7,966.0,1528.0
Iowa,2021-03-01,2021,3,4.3,1258.6,286.6,1227.2,972.0,1545.1999999999998
Iowa,2021-04-01,2021,4,4.4,1276.4,296.4,1240.2,980.0,1572.8000000000002
Iowa,2021-05-01,2021,5,4.4,1286.5,300.2,1244.1,986.3,1586.7
Iowa,2021-06-01,2021,6,4.3,1294.0,305.2,1243.6,988.8,1599.2
Iowa,2021-07-01,2021,7,4.1,1304.1,309.3,1231.5,994.8,1613.3999999999999
Iowa,2021-08-01,2021,8,3.9,1299.0,307.5,1232.5,991.5,1606.5
Iowa,2021-09-01,2021,9,3.6,1289.1,304.7,1241.5,984.4,1593.8
Iowa,2021-10-01,2021,10,3.3,1308.3,305.8,1263.1,1002.5,1614.1
Iowa,2021-11-01,2021,11,3.1,1306.8,299.1,1269.5,1007.7,1605.9
Iowa,2021-12-01,2021,12,2.9,1304.0,302.2,1261.4,1001.8,1606.2
Iowa,2022-01-01,2022,1,2.8,1272.5,291.0,1235.0,981.5,1563.5
Iowa,2022-02-01,2022,2,2.7,1288.7,292.3,1254.5,996.4,1581.0
Iowa,2022-03-01,2022,3,2.6,1293.5,295.3,1256.9,998.2,1588.8
Iowa,2022-04-01,2022,4,2.6,1312.3,305.1,1268.7,1007.2,1617.4
Iowa,2022-05-01,2022,5,2.6,1318.1,308.5,1272.0,1009.6,1626.6
Iowa,2022-06-01,2022,6,2.7,1326.2,314.8,1269.3,1011.4,1641.0
Iowa,2022-07-01,2022,7,2.8,1327.1,317.2,1250.1,1009.9,1644.3
Iowa,2022-08-01,2022,8,3.0,1323.3,315.7,1251.2,1007.6,1639.0
Iowa,2022-09-01,2022,9,3.1,1320.1,312.9,1268.5,1007.2,1633.0
Iowa,2022-10-01,2022,10,3.1,1334.6,313.2,1286.3,1021.4,1647.8
Iowa,2022-11-01,2022,11,3.1,1335.5,311.7,1290.2,1023.8,1647.2
Iowa,2022-12-01,2022,12,3.1,1323.1,307.3,1281.0,1015.8,1630.3999999999999
Iowa,2023-01-01,2023,1,3.0,1295.1,299.3,1254.8,995.8,1594.3999999999999
Iowa,2023-02-01,2023,2,3.0,1305.5,299.0,1270.4,1006.5,1604.5
Iowa,2023-03-01,2023,3,2.9,1308.9,302.1,1271.3,1006.8,1611.0
Iowa,2023-04-01,2023,4,2.9,1333.4,311.0,1288.1,1022.4,1644.4
Iowa,2023-05-01,2023,5,2.9,1336.4,313.5,1290.4,1022.9,1649.9
Iowa,2023-06-01,2023,6,3.0,1342.5,320.1,1284.7,1022.4,1662.6
