State,Date,Year,Month,Unemployment_Rate,Goods_Producing,Service_Providing,Mining_and_Logging,Construction,Manufacturing,Trade_Transport_and_Utilities,Information,Financial_Activities,Professional_and_Tech_Services,Education_and_Health_Services,Leisure_and_Hospitality,Government,Total_Tech_Employment_Thousands
Alabama,2016-01-01,2016,1,5.9,351.2,1611.6,9.9,82.7,258.6,376.4,20.8,95.1,229.1,233.2,186.2,378.5,249.9
Alabama,2016-02-01,2016,2,5.9,351.2,1623.6,9.5,82.7,259.0,375.8,20.7,95.3,230.7,236.7,190.0,381.7,251.39999999999998
Alabama,2016-03-01,2016,3,5.9,352.8,1632.0,9.5,84.5,258.8,377.3,20.6,95.5,231.9,235.6,194.6,383.0,252.5
Alabama,2016-04-01,2016,4,5.8,354.6,1646.8,9.3,85.4,259.9,379.2,20.8,95.9,235.4,237.9,199.7,383.5,256.2
Alabama,2016-05-01,2016,5,5.8,353.6,1650.0,9.2,84.5,259.9,379.7,21.0,96.1,234.9,237.3,202.2,384.6,255.9
Alabama,2016-06-01,2016,6,5.8,354.5,1649.4,9.2,84.3,261.0,379.8,21.0,96.2,234.3,236.4,203.2,383.6,255.3
Alabama,2016-07-01,2016,7,5.8,355.0,1636.6,9.3,84.2,261.5,379.6,20.8,96.4,232.7,237.0,202.2,372.7,253.5
Alabama,2016-08-01,2016,8,5.8,354.2,1643.8,9.2,83.3,261.7,378.8,20.7,96.6,234.6,239.2,202.6,376.4,255.29999999999998
Alabama,2016-09-01,2016,9,5.8,356.4,1650.6,9.4,84.7,262.3,378.7,20.5,96.6,234.1,241.6,200.5,383.5,254.6
Alabama,2016-10-01,2016,10,5.8,354.9,1650.9,9.1,84.4,261.4,379.8,20.7,96.6,234.9,241.5,197.4,385.3,255.6
Alabama,2016-11-01,2016,11,5.7,354.5,1659.1,9.3,83.6,261.6,386.8,20.9,96.6,235.5,240.8,197.2,386.5,256.4
Alabama,2016-12-01,2016,12,5.6,356.1,1660.0,9.3,84.6,262.2,388.7,20.9,96.6,234.9,242.4,194.4,387.2,255.8
Alabama,2017-01-01,2017,1,5.4,354.3,1630.2,9.6,83.1,261.6,376.8,20.5,95.5,231.6,237.2,192.2,381.6,252.1
Alabama,2017-02-01,2017,2,5.2,356.4,1642.6,9.7,83.9,262.8,375.3,20.7,95.7,234.3,240.8,195.7,384.8,255.0
Alabama,2017-03-01,2017,3,5.0,357.8,1652.8,9.7,85.3,262.8,376.4,20.9,96.0,237.0,240.2,200.1,386.3,257.9
Alabama,2017-04-01,2017,4,4.8,356.8,1659.9,9.7,84.1,263.0,377.1,20.7,95.7,237.7,241.9,204.2,386.5,258.4
Alabama,2017-05-01,2017,5,4.6,357.6,1665.4,9.7,85.0,262.9,377.6,21.1,96.1,239.0,241.0,206.5,387.7,260.1
Alabama,2017-06-01,2017,6,4.5,358.2,1669.8,9.7,84.7,263.8,378.8,21.0,96.3,241.3,241.0,208.0,386.8,262.3
Alabama,2017-07-01,2017,7,4.3,358.0,1653.3,9.8,84.7,263.5,377.5,21.0,97.0,238.9,239.3,207.7,375.4,259.9
Alabama,2017-08-01,2017,8,4.2,358.7,1661.0,9.9,85.1,263.7,377.8,20.7,97.1,242.1,240.9,207.9,378.1,262.8
Alabama,2017-09-01,2017,9,4.1,359.9,1664.7,10.0,86.2,263.7,376.8,20.6,97.5,240.7,243.3,204.2,385.1,261.3
Alabama,2017-10-01,2017,10,4.0,361.7,1669.0,9.9,87.7,264.1,378.7,20.8,98.4,242.3,243.1,202.2,387.3,263.1
Alabama,2017-11-01,2017,11,4.0,361.2,1678.4,10.0,86.5,264.7,386.3,20.9,97.7,242.5,245.1,201.4,388.2,263.4
Alabama,2017-12-01,2017,12,4.0,362.1,1676.7,10.0,86.3,265.8,390.9,20.9,96.5,241.1,245.0,198.6,387.7,262.0
Alabama,2018-01-01,2018,1,4.0,358.2,1645.5,9.9,84.1,264.2,378.9,20.7,95.4,236.7,240.8,195.8,381.7,257.4
Alabama,2018-02-01,2018,2,4.0,361.7,1658.4,9.9,86.4,265.4,377.4,21.0,95.5,240.2,244.0,199.2,385.3,261.2
Alabama,2018-03-01,2018,3,4.0,363.1,1668.0,9.9,88.0,265.2,379.9,21.1,95.6,242.0,243.0,203.1,386.9,263.1
Alabama,2018-04-01,2018,4,4.0,363.3,1678.7,9.9,88.4,265.0,380.6,21.1,95.6,243.9,245.3,207.2,388.3,265.0
Alabama,2018-05-01,2018,5,4.0,363.9,1682.1,9.9,88.5,265.5,381.8,21.3,95.9,242.1,244.2,209.7,389.9,263.4
Alabama,2018-06-01,2018,6,4.0,366.0,1689.6,9.9,89.2,266.9,382.2,21.2,96.6,244.7,245.0,211.9,390.1,265.9
Alabama,2018-07-01,2018,7,3.9,366.8,1674.5,10.1,89.2,267.5,382.5,21.1,96.7,244.1,243.2,211.4,378.1,265.2
Alabama,2018-08-01,2018,8,3.9,368.0,1681.4,10.1,89.9,268.0,382.1,21.0,96.8,245.3,245.1,211.8,381.5,266.3
Alabama,2018-09-01,2018,9,3.9,368.8,1683.2,10.1,90.6,268.1,381.1,21.1,96.9,244.7,246.8,207.0,387.6,265.8
Alabama,2018-10-01,2018,10,3.8,369.7,1692.7,10.1,91.7,267.9,383.7,21.0,97.4,249.5,247.0,206.4,389.7,270.5
Alabama,2018-11-01,2018,11,3.8,370.5,1705.9,10.0,91.2,269.3,395.0,21.2,96.7,250.1,248.8,205.0,390.8,271.3
Alabama,2018-12-01,2018,12,3.8,371.6,1703.8,10.2,91.1,270.3,397.5,21.2,96.1,247.6,248.6,203.1,391.5,268.8
Alabama,2019-01-01,2019,1,3.7,367.4,1675.8,10.2,88.9,268.3,386.6,21.2,94.8,244.4,245.1,199.3,386.3,265.6
Alabama,2019-02-01,2019,2,3.6,369.3,1687.1,10.2,90.2,268.9,383.7,21.4,95.1,246.7,248.2,203.3,389.8,268.09999999999997
Alabama,2019-03-01,2019,3,3.4,371.7,1692.1,10.2,92.9,268.6,383.8,21.9,95.1,247.7,246.9,206.4,391.2,269.59999999999997
Alabama,2019-04-01,2019,4,3.3,371.8,1704.7,10.0,93.5,268.3,385.3,21.9,95.7,249.0,249.4,211.3,392.3,270.9
Alabama,2019-05-01,2019,5,3.2,372.4,1709.2,10.1,93.7,268.6,386.0,21.6,96.2,249.6,249.4,213.1,393.7,271.2
Alabama,2019-06-01,2019,6,3.0,373.5,1711.7,10.3,93.8,269.4,386.0,21.7,96.9,250.2,249.2,213.7,393.9,271.9
Alabama,2019-07-01,2019,7,3.0,373.2,1700.9,10.3,93.8,269.1,385.8,21.1,97.0,250.8,249.2,212.8,384.7,271.90000000000003
Alabama,2019-08-01,2019,8,3.0,373.9,1707.1,10.3,94.7,268.9,385.3,21.0,96.9,252.3,251.2,212.9,388.0,273.3
Alabama,2019-09-01,2019,9,3.0,373.4,1706.0,10.2,95.0,268.2,384.6,20.8,97.5,248.7,252.5,208.4,393.9,269.5
Alabama,2019-10-01,2019,10,3.0,374.2,1712.4,10.1,95.6,268.5,387.3,20.8,97.4,251.3,252.5,208.5,395.2,272.1
Alabama,2019-11-01,2019,11,3.0,374.6,1727.6,10.1,95.1,269.4,397.8,21.0,97.5,254.0,254.4,206.9,396.5,275.0
Alabama,2019-12-01,2019,12,3.1,375.7,1724.7,10.1,95.1,270.5,399.8,21.0,97.7,251.1,253.5,205.3,396.7,272.1
Alabama,2020-01-01,2020,1,3.2,371.9,1694.1,9.9,93.4,268.6,385.9,20.8,96.8,248.1,250.2,200.6,392.6,268.9
Alabama,2020-02-01,2020,2,3.3,373.8,1703.4,9.9,93.5,270.4,384.6,20.8,97.1,249.9,252.5,204.0,394.9,270.7
Alabama,2020-03-01,2020,3,3.4,374.5,1699.2,9.6,94.3,270.6,384.0,20.5,97.1,249.8,250.1,202.4,395.9,270.3
Alabama,2020-04-01,2020,4,13.8,332.0,1512.7,9.8,90.0,232.2,352.9,19.0,95.3,219.0,224.8,130.9,386.6,238.0
Alabama,2020-05-01,2020,5,10.4,343.6,1552.0,9.8,91.0,242.8,366.2,18.8,95.4,223.7,230.0,155.7,374.3,242.5
Alabama,2020-06-01,2020,6,8.6,357.0,1590.5,9.8,92.6,254.6,378.3,18.9,96.2,228.9,231.5,173.6,371.4,247.8
Alabama,2020-07-01,2020,7,7.5,358.3,1600.9,9.7,92.1,256.5,379.7,18.9,96.4,235.9,231.6,176.9,369.6,254.8
Alabama,2020-08-01,2020,8,6.3,359.0,1622.9,9.5,91.8,257.7,384.8,19.0,96.9,240.2,234.5,178.4,378.1,259.2
Alabama,2020-09-01,2020,9,5.9,361.0,1631.1,9.5,92.3,259.2,384.6,19.1,96.5,241.5,236.5,176.1,385.7,260.6
Alabama,2020-10-01,2020,10,5.2,364.7,1656.6,9.4,93.9,261.4,391.4,19.2,97.7,250.8,239.8,178.4,386.4,270.0
Alabama,2020-11-01,2020,11,4.8,364.9,1668.0,9.2,93.2,262.5,400.2,19.2,97.3,251.7,239.6,179.9,386.9,270.9
Alabama,2020-12-01,2020,12,4.5,366.6,1673.7,9.2,94.1,263.3,403.6,19.2,96.9,252.1,241.5,179.6,388.2,271.3
Alabama,2021-01-01,2021,1,4.2,363.2,1639.9,9.2,91.9,262.1,388.2,19.3,95.9,247.5,237.8,175.2,383.6,266.8
Alabama,2021-02-01,2021,2,3.9,364.7,1652.7,9.1,92.4,263.2,389.0,19.5,96.4,249.9,240.1,178.0,386.3,269.4
Alabama,2021-03-01,2021,3,3.8,366.3,1658.8,9.2,93.8,263.3,389.4,19.6,97.2,250.2,239.1,181.5,387.8,269.8
Alabama,2021-04-01,2021,4,3.7,364.3,1667.3,8.5,93.6,262.2,388.5,19.7,98.0,251.1,240.7,185.2,389.0,270.8
Alabama,2021-05-01,2021,5,3.6,364.3,1675.2,8.5,93.8,262.0,391.6,20.0,98.4,251.2,240.1,189.2,389.6,271.2
Alabama,2021-06-01,2021,6,3.5,366.0,1683.2,8.6,93.8,263.6,393.0,20.3,98.6,250.1,240.7,195.4,389.3,270.4
Alabama,2021-07-01,2021,7,3.4,367.7,1683.0,8.4,95.0,264.3,394.5,20.8,98.7,251.8,241.5,197.9,382.0,272.6
Alabama,2021-08-01,2021,8,3.2,366.5,1684.0,8.5,94.3,263.7,393.9,20.9,98.8,252.4,242.0,195.4,384.7,273.3
Alabama,2021-09-01,2021,9,3.0,367.9,1687.9,8.3,95.4,264.2,395.9,20.7,99.4,252.0,242.3,192.4,389.2,272.7
Alabama,2021-10-01,2021,10,2.9,371.4,1706.5,8.7,96.1,266.6,402.0,21.2,100.2,259.1,244.7,192.4,390.4,280.3
Alabama,2021-11-01,2021,11,2.8,372.4,1720.9,8.8,96.0,267.6,412.0,21.5,99.9,260.5,246.4,192.4,391.6,282.0
Alabama,2021-12-01,2021,12,2.7,374.7,1723.4,8.9,96.3,269.5,416.2,21.5,100.0,259.4,245.9,192.1,391.3,280.9
Alabama,2022-01-01,2022,1,2.6,370.9,1690.9,8.9,95.2,266.8,400.4,21.7,100.0,254.9,242.7,187.9,386.5,276.6
Alabama,2022-02-01,2022,2,2.6,376.3,1708.6,9.0,97.1,270.2,403.2,22.0,100.5,259.6,244.9,192.4,388.4,281.6
Alabama,2022-03-01,2022,3,2.6,379.0,1707.1,9.0,99.0,271.0,401.2,22.4,100.3,257.7,243.7,194.1,389.6,280.09999999999997
Alabama,2022-04-01,2022,4,2.6,380.4,1721.3,9.1,99.5,271.8,402.1,22.6,100.9,261.4,245.9,197.6,391.9,284.0
Alabama,2022-05-01,2022,5,2.6,381.3,1724.4,9.1,99.6,272.6,402.0,22.8,101.4,261.3,245.9,199.9,392.5,284.1
Alabama,2022-06-01,2022,6,2.6,382.6,1727.6,9.2,99.7,273.7,401.5,22.9,101.8,260.7,246.3,203.2,392.5,283.59999999999997
Alabama,2022-07-01,2022,7,2.6,385.1,1728.1,9.3,100.1,275.7,406.1,23.3,102.7,262.2,247.3,203.8,384.7,285.5
Alabama,2022-08-01,2022,8,2.6,385.1,1729.9,9.3,99.7,276.1,404.3,23.4,102.8,263.0,249.3,201.7,387.6,286.4
Alabama,2022-09-01,2022,9,2.5,386.6,1740.4,9.2,100.5,276.9,405.8,23.2,102.6,265.4,252.2,199.4,393.7,288.59999999999997
Alabama,2022-10-01,2022,10,2.5,387.5,1745.3,9.3,100.7,277.5,406.4,23.1,105.2,266.7,252.2,197.4,396.1,289.8
Alabama,2022-11-01,2022,11,2.4,387.8,1755.7,9.3,99.9,278.6,415.2,23.2,104.6,267.6,252.8,197.6,397.3,290.8
Alabama,2022-12-01,2022,12,2.3,389.4,1758.3,9.3,100.0,280.1,420.1,23.4,103.7,266.0,253.6,196.0,398.5,289.4
Alabama,2023-01-01,2023,1,2.3,386.5,1737.2,9.4,98.2,278.9,405.6,23.4,103.8,264.2,252.2,196.6,394.8,287.59999999999997
Alabama,2023-02-01,2023,2,2.3,388.5,1750.6,9.4,99.2,279.9,405.4,23.4,104.1,267.3,255.6,200.2,397.8,290.7
Alabama,2023-03-01,2023,3,2.3,389.2,1753.9,9.3,99.9,280.0,405.0,23.2,104.2,266.4,255.9,202.0,400.3,289.59999999999997
Alabama,2023-04-01,2023,4,2.3,390.1,1763.3,9.2,100.7,280.2,405.4,23.3,104.7,268.0,257.7,205.6,401.2,291.3
Alabama,2023-05-01,2023,5,2.3,390.5,1768.2,9.2,100.5,280.8,406.4,23.6,104.7,267.1,258.3,207.9,402.3,290.70000000000005
Alabama,2023-06-01,2023,6,2.4,394.1,1776.5,9.4,101.9,282.8,408.3,23.7,104.9,268.2,258.6,211.3,403.4,291.9
Alabama,2023-07-01,2023,7,2.4,393.6,1764.0,9.3,101.6,282.7,407.6,23.5,104.6,266.4,257.6,210.3,396.2,289.9
Alabama,2023-08-01,2023,8,2.5,394.1,1769.2,9.3,102.2,282.6,406.4,23.3,104.0,268.1,259.8,209.3,400.6,291.40000000000003
Alabama,2023-09-01,2023,9,2.6,395.2,1777.2,9.3,102.9,283.0,407.2,23.1,104.2,267.3,262.5,207.5,407.3,290.40000000000003
Alabama,2023-10-01,2023,10,2.7,395.4,1785.9,9.3,104.0,282.1,409.6,23.1,104.4,270.0,261.9,206.2,412.6,293.1
Alabama,2023-11-01,2023,11,2.8,395.6,1793.5,9.4,103.6,282.6,416.4,23.1,103.9,270.2,262.3,205.8,414.2,293.3
Alabama,2023-12-01,2023,12,2.8,397.1,1794.2,9.4,103.7,284.0,419.6,23.0,103.7,268.0,262.7,204.5,414.9,291.0
Alabama,2024-01-01,2024,1,2.9,394.0,1762.4,9.3,102.9,281.8,407.4,22.9,102.6,262.9,258.4,200.4,410.5,285.79999999999995
Alabama,2024-02-01,2024,2,2.9,398.3,1778.2,9.3,104.8,284.2,407.2,22.8,102.8,265.9,263.0,204.1,414.3,288.7
Alabama,2024-03-01,2024,3,2.9,399.2,1782.0,9.3,105.5,284.4,406.8,22.8,102.8,264.9,262.4,206.7,416.8,287.7
Alabama,2024-04-01,2024,4,2.9,399.7,1789.6,9.4,105.5,284.8,406.9,22.9,103.2,266.2,262.6,211.9,417.4,289.09999999999997
Alabama,2024-05-01,2024,5,2.9,400.8,1794.9,9.5,106.5,284.8,407.9,23.0,103.7,266.2,263.3,214.0,418.6,289.2
Alabama,2024-06-01,2024,6,2.9,404.7,1795.6,9.5,107.7,287.5,408.2,23.0,104.5,264.8,262.6,215.5,418.9,287.8
Alabama,2024-07-01,2024,7,3.0,403.3,1780.6,9.4,107.6,286.3,408.5,23.0,105.1,260.3,261.9,215.7,408.7,283.3
Alabama,2024-08-01,2024,8,3.0,403.5,1786.8,9.4,108.3,285.8,407.9,23.0,104.9,261.9,265.0,214.7,412.5,284.9
Alabama,2024-09-01,2024,9,3.1,404.5,1785.1,9.4,108.8,286.3,407.3,22.8,104.1,260.4,264.9,211.3,417.5,283.2
Alabama,2024-10-01,2024,10,3.1,403.2,1796.3,9.4,108.1,285.7,408.9,22.8,106.4,264.0,266.3,211.4,420.4,286.8
Alabama,2024-11-01,2024,11,3.1,402.7,1804.9,9.4,107.5,285.8,415.4,22.9,105.5,264.4,263.3,211.0,426.9,287.29999999999995
Alabama,2024-12-01,2024,12,3.1,402.6,1803.1,9.4,107.4,285.8,418.9,22.9,104.1,262.7,262.3,209.8,427.6,285.59999999999997
Alabama,2025-01-01,2025,1,3.1,399.7,1773.9,9.4,106.4,283.9,406.7,22.9,103.7,257.4,261.4,204.5,423.9,280.29999999999995
Alabama,2025-02-01,2025,2,3.0,402.3,1786.1,9.5,107.4,285.4,405.8,22.8,103.8,261.4,263.7,208.7,426.3,284.2
Alabama,2025-03-01,2025,3,3.0,402.2,1784.7,9.4,108.1,284.7,403.5,22.7,103.7,260.3,263.0,210.3,427.8,283.0
Alabama,2025-04-01,2025,4,2.9,402.7,1795.4,9.3,108.6,284.8,404.5,22.6,103.8,263.9,263.5,216.3,427.0,286.5
Alabama,2025-05-01,2025,5,2.9,402.9,1800.9,9.3,109.3,284.3,405.4,22.8,103.9,264.8,264.4,217.7,428.1,287.6
Alabama,2025-06-01,2025,6,2.9,404.4,1798.7,9.3,110.0,285.1,405.9,22.7,104.1,263.0,262.4,219.8,426.8,285.7
Alabama,2025-07-01,2025,7,2.8,403.4,1785.7,9.4,110.5,283.5,405.3,22.5,104.9,262.8,262.6,217.6,416.3,285.3
Alabama,2025-08-01,2025,8,2.8,402.9,1791.2,9.3,110.6,283.0,404.6,22.5,104.5,263.5,264.9,216.7,421.0,286.0
Alabama,2025-09-01,2025,9,2.8,402.5,1792.0,9.2,110.9,282.4,403.7,22.3,104.2,263.2,264.7,214.1,426.3,285.5
Alabama,2025-10-01,2025,10,,404.1,1797.6,9.3,111.6,283.2,405.0,22.3,104.5,264.3,265.0,214.9,427.7,286.6
Alabama,2025-11-01,2025,11,2.7,404.5,1802.9,9.3,110.9,284.3,408.0,22.4,104.0,265.1,265.4,214.4,429.9,287.5
Alabama,2025-12-01,2025,12,2.7,403.5,1803.1,9.4,110.5,283.6,412.3,22.6,103.8,263.4,264.5,213.3,429.8,286.0
Alabama,2026-01-01,2026,1,2.7,400.9,1782.4,9.3,109.5,282.1,402.3,22.0,102.9,262.9,263.1,209.4,426.5,284.9
Alabama,2026-02-01,2026,2,2.7,403.1,1792.2,9.3,110.5,283.3,400.0,21.9,102.8,264.3,266.3,213.0,429.8,286.2
Alaska,2016-01-01,2016,1,6.4,41.0,276.7,15.7,13.9,11.4,61.6,6.2,11.7,27.6,47.8,29.9,81.1,33.800000000000004
Alaska,2016-02-01,2016,2,6.5,43.2,278.9,15.6,14.2,13.4,61.6,6.3,11.6,27.8,48.3,30.3,82.2,34.1
Alaska,2016-03-01,2016,3,6.5,43.7,280.0,15.6,14.3,13.8,61.7,6.2,11.7,27.8,48.5,30.8,82.4,34.0
Alaska,2016-04-01,2016,4,6.6,43.2,286.8,15.1,15.5,12.6,63.9,6.4,11.8,28.8,48.8,32.1,83.9,35.2
Alaska,2016-05-01,2016,5,6.6,43.0,297.2,15.0,17.3,10.7,67.8,6.4,12.0,29.3,48.7,38.0,83.7,35.7
Alaska,2016-06-01,2016,6,6.7,49.7,302.1,14.6,18.6,16.5,69.2,6.4,12.4,30.0,48.3,42.0,82.5,36.4
Alaska,2016-07-01,2016,7,6.7,59.0,299.1,14.3,19.5,25.2,70.0,6.4,12.9,29.8,48.8,43.2,76.7,36.2
Alaska,2016-08-01,2016,8,6.7,54.1,299.9,14.2,19.2,20.7,70.1,6.3,12.8,29.9,48.8,43.2,77.7,36.199999999999996
Alaska,2016-09-01,2016,9,6.7,45.5,297.0,13.9,18.0,13.6,67.7,6.3,12.1,29.2,48.7,39.6,82.3,35.5
Alaska,2016-10-01,2016,10,6.7,41.3,286.8,13.7,16.7,10.9,64.9,6.1,11.9,28.0,48.8,33.2,82.9,34.1
Alaska,2016-11-01,2016,11,6.7,36.4,281.6,13.5,14.6,8.3,63.2,6.1,11.9,26.9,48.9,30.8,82.8,33.0
Alaska,2016-12-01,2016,12,6.7,34.4,281.6,13.7,13.5,7.2,63.0,6.1,11.9,27.5,49.2,31.0,82.1,33.6
Alaska,2017-01-01,2017,1,6.7,34.9,275.6,13.1,12.2,9.6,60.9,6.1,11.5,26.7,49.0,29.8,80.9,32.8
Alaska,2017-02-01,2017,2,6.6,38.6,278.6,13.1,12.8,12.7,60.9,6.1,11.7,27.4,49.4,30.1,82.2,33.5
Alaska,2017-03-01,2017,3,6.6,39.0,279.2,13.1,13.0,12.9,60.9,6.1,11.6,26.9,49.7,30.9,82.3,33.0
Alaska,2017-04-01,2017,4,6.6,38.5,283.4,13.0,13.9,11.6,62.6,6.0,11.8,27.3,49.8,32.0,82.7,33.3
Alaska,2017-05-01,2017,5,6.6,39.1,296.2,13.1,15.5,10.5,66.5,6.0,12.0,28.5,50.0,38.1,83.7,34.5
Alaska,2017-06-01,2017,6,6.6,47.4,302.3,13.4,17.5,16.5,68.5,6.0,12.5,29.4,50.1,42.4,81.8,35.4
Alaska,2017-07-01,2017,7,6.6,55.5,298.1,13.5,18.0,24.0,69.5,6.0,12.6,29.6,49.8,43.5,75.7,35.6
Alaska,2017-08-01,2017,8,6.6,52.5,298.7,13.5,18.1,20.9,69.5,5.9,12.6,29.5,49.9,43.2,76.8,35.4
Alaska,2017-09-01,2017,9,6.6,44.8,295.7,13.2,17.4,14.2,66.9,5.9,11.9,28.7,49.6,39.9,81.5,34.6
Alaska,2017-10-01,2017,10,6.6,39.9,285.3,12.8,16.3,10.8,63.9,5.8,11.8,27.5,49.9,33.6,81.7,33.3
Alaska,2017-11-01,2017,11,6.6,34.6,280.1,12.3,14.2,8.1,62.5,5.8,11.7,27.0,50.1,30.5,81.5,32.8
Alaska,2017-12-01,2017,12,6.6,32.6,279.5,12.4,13.3,6.9,62.2,5.8,11.7,26.6,50.2,30.7,81.4,32.4
Alaska,2018-01-01,2018,1,6.5,33.8,274.2,12.2,12.6,9.0,60.5,5.7,11.4,26.1,50.0,29.8,79.9,31.8
Alaska,2018-02-01,2018,2,6.4,37.4,277.3,12.3,13.0,12.1,60.3,5.7,11.5,26.7,50.4,30.5,81.4,32.4
Alaska,2018-03-01,2018,3,6.3,37.8,278.5,12.5,13.5,11.8,60.7,5.7,11.5,26.7,50.6,31.0,81.5,32.4
Alaska,2018-04-01,2018,4,6.1,38.1,281.4,12.4,14.2,11.5,62.2,5.7,11.6,26.2,50.4,32.1,82.1,31.9
Alaska,2018-05-01,2018,5,6.0,38.9,293.9,12.7,16.0,10.2,66.5,5.7,11.7,27.5,50.5,38.0,82.7,33.2
Alaska,2018-06-01,2018,6,6.0,46.9,300.4,12.9,17.9,16.1,68.6,5.7,12.4,28.5,50.5,42.2,81.0,34.2
Alaska,2018-07-01,2018,7,5.9,54.9,296.5,12.9,18.4,23.6,69.1,5.7,12.4,28.5,50.2,43.8,75.5,34.2
Alaska,2018-08-01,2018,8,5.9,51.0,298.3,13.0,18.7,19.3,69.4,5.6,12.3,28.8,50.2,43.9,76.9,34.4
Alaska,2018-09-01,2018,9,5.9,44.4,294.1,12.9,18.1,13.4,67.0,5.5,11.7,28.1,50.1,39.9,80.9,33.6
Alaska,2018-10-01,2018,10,6.0,40.5,285.6,12.8,17.4,10.3,64.2,5.5,11.6,27.4,50.5,34.2,81.2,32.9
Alaska,2018-11-01,2018,11,6.0,35.6,280.2,12.5,15.5,7.6,62.5,5.5,11.5,26.8,50.8,31.1,81.1,32.3
Alaska,2018-12-01,2018,12,6.1,34.2,279.0,12.8,14.8,6.6,62.2,5.5,11.4,26.7,50.9,31.0,80.5,32.2
Alaska,2019-01-01,2019,1,6.0,35.1,274.4,12.6,13.4,9.1,60.5,5.4,11.4,26.1,50.3,30.3,79.8,31.5
Alaska,2019-02-01,2019,2,5.9,38.9,277.5,12.9,13.8,12.2,60.4,5.4,11.3,26.8,50.6,31.1,81.2,32.2
Alaska,2019-03-01,2019,3,5.8,39.0,278.9,13.1,14.2,11.7,61.1,5.4,11.3,26.6,50.8,31.6,81.3,32.0
Alaska,2019-04-01,2019,4,5.7,40.0,282.4,13.2,15.2,11.6,62.5,5.4,11.4,27.2,50.8,32.5,81.7,32.6
Alaska,2019-05-01,2019,5,5.6,40.6,294.0,13.3,17.1,10.2,66.7,5.4,11.6,28.2,50.9,38.6,81.4,33.6
Alaska,2019-06-01,2019,6,5.6,48.5,300.9,13.6,18.6,16.3,68.5,5.4,12.4,28.7,50.8,42.8,80.9,34.1
Alaska,2019-07-01,2019,7,5.6,57.2,298.2,13.7,19.0,24.5,69.8,5.4,12.2,29.1,50.7,44.4,75.3,34.5
Alaska,2019-08-01,2019,8,5.6,53.3,298.9,13.9,19.3,20.1,69.6,5.3,12.2,29.4,50.9,44.5,75.9,34.699999999999996
Alaska,2019-09-01,2019,9,5.5,47.9,295.4,13.6,18.5,15.8,67.4,5.3,11.5,28.3,50.7,40.9,80.3,33.6
Alaska,2019-10-01,2019,10,5.4,41.8,285.9,13.5,17.5,10.8,64.5,5.3,11.4,27.5,50.9,34.6,80.7,32.8
Alaska,2019-11-01,2019,11,5.3,36.7,280.5,13.3,15.6,7.8,62.3,5.3,11.3,27.1,51.2,31.8,80.5,32.4
Alaska,2019-12-01,2019,12,5.2,35.2,279.3,13.5,14.9,6.8,62.1,5.3,11.2,27.0,51.4,31.4,80.0,32.3
Alaska,2020-01-01,2020,1,5.3,36.3,274.6,13.1,13.8,9.4,60.4,5.2,11.1,26.9,51.2,30.3,78.7,32.1
Alaska,2020-02-01,2020,2,5.4,40.0,277.3,13.3,14.3,12.4,60.3,5.1,11.1,27.2,51.4,31.3,80.0,32.3
Alaska,2020-03-01,2020,3,5.4,39.6,277.3,13.2,14.5,11.9,60.3,5.1,11.1,27.4,51.3,31.0,80.3,32.5
Alaska,2020-04-01,2020,4,11.6,35.1,243.0,11.9,13.4,9.8,55.0,4.6,10.4,24.7,45.8,17.9,76.1,29.299999999999997
Alaska,2020-05-01,2020,5,11.7,36.6,251.9,10.9,15.9,9.8,56.3,4.8,10.6,25.5,47.4,22.8,74.9,30.3
Alaska,2020-06-01,2020,6,11.2,42.5,258.9,10.7,17.5,14.3,58.2,4.8,10.8,25.8,48.5,27.2,73.6,30.6
Alaska,2020-07-01,2020,7,11.1,48.1,258.9,10.4,17.9,19.8,58.6,4.8,11.0,26.1,48.5,28.6,71.0,30.900000000000002
Alaska,2020-08-01,2020,8,8.6,44.8,263.6,10.4,18.3,16.1,59.2,4.8,11.0,26.2,48.8,28.2,75.4,31.0
Alaska,2020-09-01,2020,9,7.8,40.7,265.7,10.3,18.0,12.4,59.2,4.9,10.9,26.1,49.0,27.4,78.1,31.0
Alaska,2020-10-01,2020,10,7.2,37.1,266.1,9.8,16.9,10.4,59.3,4.8,10.7,25.9,49.8,26.3,78.9,30.7
Alaska,2020-11-01,2020,11,7.0,32.9,263.8,9.7,15.1,8.1,59.8,4.8,10.7,25.5,50.0,25.1,77.7,30.3
Alaska,2020-12-01,2020,12,7.1,31.5,262.7,10.0,14.3,7.2,60.0,4.7,10.6,25.3,50.3,24.0,77.8,30.0
Alaska,2021-01-01,2021,1,6.9,32.2,259.4,9.9,13.1,9.2,58.4,4.7,10.5,24.8,50.1,24.5,76.5,29.5
Alaska,2021-02-01,2021,2,6.9,33.7,263.0,9.9,13.3,10.5,58.7,4.7,10.6,25.3,50.7,25.4,77.6,30.0
Alaska,2021-03-01,2021,3,7.0,34.6,264.6,10.1,13.6,10.9,58.8,4.7,10.6,25.6,51.0,26.1,77.8,30.3
Alaska,2021-04-01,2021,4,7.0,35.9,268.2,10.2,14.3,11.4,59.6,4.7,10.8,25.8,50.9,27.5,78.7,30.5
